,,,South Surrey--White Rock (Federal electoral district - 2013 Representation Order),,,,,,British Columbia (Province)
Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Detailed language spoken most often at home,        Khmer (Cambodian),,       0,,       0,,       0,,     750,,     370,,     385,
Detailed language spoken most often at home,        Korean,,    1110,,     505,,     605,,   38810,,   17985,,   20830,
Detailed language spoken most often at home,        Kurdish,,       0,,       0,,       0,,     945,,     490,,     460,
Detailed language spoken most often at home,        Lao,,       0,,       0,,       0,,     545,,     270,,     275,
Detailed language spoken most often at home,        Latvian,,       0,,       5,,       0,,     105,,      50,,      50,
Detailed language spoken most often at home,        Lingala,,       0,,       0,,       0,,      10,,       5,,       5,
Detailed language spoken most often at home,        Lithuanian,,       0,,       5,,       0,,      65,,      30,,      35,
Detailed language spoken most often at home,        Macedonian,,       0,,       0,,       0,,     140,,      70,,      70,
Detailed language spoken most often at home,        Malay,,      10,,       5,,       5,,    1320,,     655,,     660,
Detailed language spoken most often at home,        Malayalam,,       0,,       0,,       0,,     690,,     350,,     340,
Detailed language spoken most often at home,        Maltese,,       0,,       0,,       0,,      15,,      10,,       5,
Detailed language spoken most often at home,        Mandarin,,    2580,,    1250,,    1335,,   78070,,   36945,,   41130,
Detailed language spoken most often at home,        Marathi,,       5,,       5,,       0,,     230,,     120,,     105,
Detailed language spoken most often at home,        Nepali,,       0,,       0,,       0,,     525,,     275,,     250,
Detailed language spoken most often at home,        Niger-Congo languages; n.i.e.,,       0,,       0,,       0,,     140,,      65,,      75,
Detailed language spoken most often at home,        Norwegian,,      10,,       5,,       5,,     160,,      80,,      80,
Detailed language spoken most often at home,        Oromo,,       0,,       0,,       0,,     175,,      80,,      95,
Detailed language spoken most often at home,        Panjabi (Punjabi),,    1750,,     865,,     885,,  137390,,   67955,,   69430,
Detailed language spoken most often at home,        Pashto,,       5,,       0,,       5,,     565,,     295,,     270,
Detailed language spoken most often at home,        Persian (Farsi),,      55,,      30,,      30,,   24750,,   12095,,   12655,
Detailed language spoken most often at home,        Polish,,     105,,      50,,      55,,    6395,,    3065,,    3330,
Detailed language spoken most often at home,        Portuguese,,      45,,      25,,      25,,    5195,,    2405,,    2785,
Detailed language spoken most often at home,        Romanian,,      80,,      40,,      45,,    4155,,    2050,,    2105,
Detailed language spoken most often at home,        Rundi (Kirundi),,       0,,       0,,       0,,      75,,      30,,      45,
Detailed language spoken most often at home,        Russian,,     260,,     110,,     150,,   12205,,    5880,,    6320,
Detailed language spoken most often at home,        Rwanda (Kinyarwanda),,       0,,       0,,       0,,      25,,      10,,      15,
Detailed language spoken most often at home,        Semitic languages; n.i.e.,,       5,,       0,,       5,,     465,,     230,,     235,
Detailed language spoken most often at home,        Serbian,,      90,,      45,,      45,,    4020,,    2020,,    2000,
Detailed language spoken most often at home,        Serbo-Croatian,,       5,,       5,,       0,,     615,,     300,,     315,
Detailed language spoken most often at home,        Shanghainese,,       0,,       5,,       5,,     555,,     260,,     295,
Detailed language spoken most often at home,        Sign languages; n.i.e.,,      10,,       5,,       5,,     980,,     535,,     450,
Detailed language spoken most often at home,        Sindhi,,       5,,       0,,       0,,     675,,     295,,     385,
Detailed language spoken most often at home,        Sinhala (Sinhalese),,       5,,       0,,       5,,     595,,     295,,     300,
Detailed language spoken most often at home,        Sino-Tibetan languages; n.i.e.,,       0,,       0,,       0,,     620,,     315,,     300,
Detailed language spoken most often at home,        Slavic languages; n.i.e.,,       0,,       0,,       0,,      80,,      35,,      45,
Detailed language spoken most often at home,        Slovak,,      25,,      10,,      15,,    1080,,     515,,     570,
Detailed language spoken most often at home,        Slovenian,,       5,,       5,,       5,,     165,,      70,,     100,
Detailed language spoken most often at home,        Somali,,       0,,       0,,       0,,     625,,     310,,     315,
Detailed language spoken most often at home,        Spanish,,     240,,     110,,     135,,   20585,,   10025,,   10555,
Detailed language spoken most often at home,        Swahili,,       0,,       0,,       0,,     250,,     130,,     125,
Detailed language spoken most often at home,        Swedish,,      10,,       5,,       0,,     430,,     195,,     235,
Detailed language spoken most often at home,        Tagalog (Pilipino; Filipino),,     155,,      60,,      95,,   29380,,   12780,,   16600,
Detailed language spoken most often at home,        Taiwanese,,     135,,      70,,      65,,    2910,,    1390,,    1515,
Detailed language spoken most often at home,        Tamil,,       0,,       0,,       0,,    1965,,    1010,,     960,
Detailed language spoken most often at home,        Telugu,,      10,,       5,,       0,,     290,,     145,,     140,
Detailed language spoken most often at home,        Thai,,      10,,       5,,       5,,     845,,     375,,     475,
Detailed language spoken most often at home,        Tibetan languages,,       5,,       5,,       0,,     100,,      55,,      45,
Detailed language spoken most often at home,        Tigrigna,,       0,,       0,,       0,,     295,,     135,,     160,
Detailed language spoken most often at home,        Turkish,,      10,,       5,,       5,,    1365,,     725,,     645,
Detailed language spoken most often at home,        Ukrainian,,      45,,      20,,      20,,    1070,,     475,,     595,
Detailed language spoken most often at home,        Urdu,,      95,,      50,,      50,,    5430,,    2700,,    2730,
Detailed language spoken most often at home,        Vietnamese,,      75,,      45,,      35,,   17270,,    8085,,    9180,
Detailed language spoken most often at home,        Yiddish,,       0,,       0,,       0,,      10,,       5,,       5,
Detailed language spoken most often at home,      Other languages,22,      40,,      20,,      20,,    4180,,    2100,,    2075,
Detailed language spoken most often at home,  Multiple responses        ,,    2300,,    1055,,    1245,,  162820,,   77775,,   85050,
Detailed language spoken most often at home,    English and French,,     125,,      55,,      70,,    4700,,    2240,,    2460,
Detailed language spoken most often at home,    English and non-official language,,    2120,,     975,,    1145,,  155065,,   74155,,   80905,
Detailed language spoken most often at home,    French and non-official language,,      15,,      10,,      10,,     930,,     435,,     495,
Detailed language spoken most often at home,    English; French and non-official language,,      40,,      15,,      20,,    2130,,     940,,    1185,
Detailed other language spoken regularly at home,Detailed other language spoken regularly at home - Total population excluding institutional residents,19,   92935,,   44115,,   48820,, 4356205,, 2137240,, 2218965,
Detailed other language spoken regularly at home,  None,,   82000,,   39125,,   42880,, 3740260,, 1844645,, 1895615,
Detailed other language spoken regularly at home,  Single responses ,,   10785,,    4920,,    5865,,  604495,,  287270,,  317220,
Detailed other language spoken regularly at home,    English ,,    3995,,    1880,,    2115,,  249765,,  122305,,  127455,
Detailed other language spoken regularly at home,    French ,,     870,,     385,,     490,,   38175,,   17315,,   20865,
Detailed other language spoken regularly at home,    Non-official languages ,,    5920,,    2655,,    3265,,  316550,,  147655,,  168900,
Detailed other language spoken regularly at home,      Selected Aboriginal languages,20,       5,,       0,,       0,,     845,,     400,,     445,
Detailed other language spoken regularly at home,        Atikamekw   ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed other language spoken regularly at home,        Cree; n.o.s. ,,       0,,       0,,       0,,     705,,     335,,     365,
Detailed other language spoken regularly at home,        Dene ,,       0,,       0,,       0,,      30,,      15,,      20,
Detailed other language spoken regularly at home,        Innu/Montagnais ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed other language spoken regularly at home,        Inuktitut ,,       5,,       0,,       5,,      20,,      10,,       5,
Detailed other language spoken regularly at home,        Mi'kmaq ,,       0,,       0,,       0,,      10,,       5,,       5,
Detailed other language spoken regularly at home,        Ojibway ,,       0,,       0,,       5,,      80,,      35,,      45,
Detailed other language spoken regularly at home,        Oji-Cree ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed other language spoken regularly at home,        Stoney ,,       0,,       0,,       0,,       5,,       0,,       5,
Detailed other language spoken regularly at home,      Selected non-Aboriginal languages,21,    5850,,    2625,,    3220,,  305355,,  142340,,  163020,
Detailed other language spoken regularly at home,        African languages; n.i.e. ,,       0,,       0,,       0,,     310,,     165,,     140,
Detailed other language spoken regularly at home,        Afrikaans ,,      30,,      15,,      15,,    1340,,     650,,     690,
Detailed other language spoken regularly at home,        Akan (Twi) ,,       5,,       5,,       0,,     260,,     130,,     125,
Detailed other language spoken regularly at home,        Albanian ,,       5,,       5,,       0,,     405,,     200,,     205,
Detailed other language spoken regularly at home,        Amharic ,,       5,,       0,,       0,,     460,,     220,,     245,
Detailed other language spoken regularly at home,        Arabic ,,      60,,      25,,      30,,    3845,,    2280,,    1570,
Detailed other language spoken regularly at home,        Armenian ,,      10,,       5,,       5,,     320,,     160,,     165,
Detailed other language spoken regularly at home,        Bantu languages; n.i.e. ,,       0,,       0,,       0,,     215,,      95,,     125,
Detailed other language spoken regularly at home,        Bengali ,,      10,,       0,,       5,,     570,,     285,,     285,
Detailed other language spoken regularly at home,        Berber languages (Kabyle) ,,       0,,       0,,       0,,       0,,       5,,       0,
Detailed other language spoken regularly at home,        Bisayan languages ,,      10,,       0,,      10,,     920,,     345,,     575,
Detailed other language spoken regularly at home,        Bosnian ,,      10,,       5,,       5,,     395,,     190,,     205,
Detailed other language spoken regularly at home,        Bulgarian ,,      10,,       5,,       5,,     495,,     215,,     275,
Detailed other language spoken regularly at home,        Burmese ,,       5,,       0,,       5,,     235,,     110,,     130,
Detailed other language spoken regularly at home,        Cantonese ,,     130,,      60,,      70,,   29240,,   13945,,   15290,
Detailed other language spoken regularly at home,        Chinese; n.o.s. ,,     295,,     130,,     165,,   20595,,    9830,,   10760,
Detailed other language spoken regularly at home,        Creoles ,,       5,,       0,,       0,,     490,,     250,,     235,
Detailed other language spoken regularly at home,        Croatian ,,      70,,      40,,      35,,    3195,,    1585,,    1615,
Detailed other language spoken regularly at home,        Czech ,,      70,,      30,,      35,,    1940,,     900,,    1045,
Detailed other language spoken regularly at home,        Danish ,,      85,,      35,,      50,,    1705,,     765,,     940,
Detailed other language spoken regularly at home,        Dutch ,,     215,,      90,,     125,,    6930,,    3130,,    3805,
Detailed other language spoken regularly at home,        Estonian ,,      30,,      15,,      15,,     235,,     100,,     135,
Detailed other language spoken regularly at home,        Finnish ,,      35,,      15,,      15,,    1290,,     550,,     740,
Detailed other language spoken regularly at home,        Flemish ,,       0,,       0,,       0,,     125,,      50,,      70,
Detailed other language spoken regularly at home,        Fukien ,,      10,,       0,,       5,,     670,,     295,,     380,
Detailed other language spoken regularly at home,        German ,,     735,,     315,,     420,,   23905,,   10935,,   12970,
Detailed other language spoken regularly at home,        Greek ,,      70,,      45,,      25,,    3310,,    1730,,    1580,
Detailed other language spoken regularly at home,        Gujarati ,,      70,,      35,,      40,,    3185,,    1485,,    1705,
Detailed other language spoken regularly at home,        Hakka ,,       5,,       0,,       0,,     315,,     135,,     175,
Detailed other language spoken regularly at home,        Hebrew ,,      10,,       5,,       5,,    1090,,     575,,     515,
Detailed other language spoken regularly at home,        Hindi ,,     145,,      70,,      70,,   12695,,    6190,,    6505,
Detailed other language spoken regularly at home,        Hungarian ,,      75,,      30,,      40,,    2950,,    1405,,    1545,
Detailed other language spoken regularly at home,        Ilocano ,,       5,,       0,,       5,,     945,,     360,,     590,
Detailed other language spoken regularly at home,        Indo-Iranian languages; n.i.e. ,,       5,,       0,,       0,,     175,,      90,,      85,
Detailed other language spoken regularly at home,        Italian ,,     165,,      90,,      75,,    9605,,    4715,,    4890,
Detailed other language spoken regularly at home,        Japanese ,,     120,,      50,,      75,,    9050,,    3635,,    5415,
Detailed other language spoken regularly at home,        Khmer (Cambodian) ,,       0,,       0,,       0,,     365,,     170,,     195,
Detailed other language spoken regularly at home,        Korean ,,     190,,      95,,     100,,    6890,,    3125,,    3765,
Detailed other language spoken regularly at home,        Kurdish ,,       0,,       0,,       0,,     270,,     160,,     110,
Detailed other language spoken regularly at home,        Lao ,,       5,,       0,,       0,,     410,,     200,,     210,
Detailed other language spoken regularly at home,        Latvian ,,       0,,       0,,       0,,     120,,      45,,      75,
Detailed other language spoken regularly at home,        Lingala ,,       0,,       0,,       0,,      65,,      25,,      40,
Detailed other language spoken regularly at home,        Lithuanian ,,       5,,       0,,       0,,     115,,      55,,      60,
Detailed other language spoken regularly at home,        Macedonian ,,       0,,       0,,       5,,      60,,      25,,      35,
Detailed other language spoken regularly at home,        Malay ,,      15,,       5,,      10,,    1450,,     645,,     805,
Detailed other language spoken regularly at home,        Malayalam ,,      10,,       5,,       5,,     520,,     260,,     260,
Detailed other language spoken regularly at home,        Maltese ,,       0,,       0,,       0,,      80,,      30,,      50,
Detailed other language spoken regularly at home,        Mandarin ,,     380,,     180,,     200,,   17925,,    8150,,    9775,
Detailed other language spoken regularly at home,        Marathi ,,       5,,       5,,       0,,     125,,      65,,      65,
Detailed other language spoken regularly at home,        Nepali ,,       0,,       0,,       0,,     155,,      80,,      75,
Detailed other language spoken regularly at home,        Niger-Congo languages; n.i.e. ,,       5,,       0,,       5,,     295,,     155,,     135,
Detailed other language spoken regularly at home,        Norwegian ,,      15,,       5,,      10,,     715,,     330,,     380,
Detailed other language spoken regularly at home,        Oromo ,,       0,,       0,,       0,,      65,,      45,,      25,
Detailed other language spoken regularly at home,        Panjabi (Punjabi) ,,    1155,,     575,,     585,,   34010,,   17040,,   16970,
Detailed other language spoken regularly at home,        Pashto ,,      10,,       0,,      10,,     235,,     120,,     120,
Detailed other language spoken regularly at home,        Persian (Farsi) ,,      45,,      25,,      20,,    7025,,    3725,,    3300,
Detailed other language spoken regularly at home,        Polish ,,     125,,      45,,      75,,    5450,,    2475,,    2975,
Detailed other language spoken regularly at home,        Portuguese ,,      75,,      30,,      45,,    5640,,    2625,,    3010,
Detailed other language spoken regularly at home,        Romanian ,,      40,,      20,,      20,,    2410,,    1135,,    1270,
Detailed other language spoken regularly at home,        Rundi (Kirundi) ,,       0,,       0,,       0,,      40,,      25,,      25,
Detailed other language spoken regularly at home,        Russian ,,     110,,      50,,      60,,    6140,,    2715,,    3425,
Detailed other language spoken regularly at home,        Rwanda (Kinyarwanda) ,,       0,,       0,,       0,,      30,,      15,,      15,
Detailed other language spoken regularly at home,        Semitic languages; n.i.e. ,,       0,,       0,,       0,,     160,,      85,,      70,
Detailed other language spoken regularly at home,        Serbian ,,      60,,      30,,      30,,    1855,,     955,,     905,
Detailed other language spoken regularly at home,        Serbo-Croatian ,,      10,,       5,,       5,,     435,,     190,,     245,
Detailed other language spoken regularly at home,        Shanghainese ,,      10,,       5,,      10,,     485,,     215,,     265,
Detailed other language spoken regularly at home,        Sign languages; n.i.e. ,,      15,,      10,,       5,,     865,,     345,,     520,
Detailed other language spoken regularly at home,        Sindhi ,,      20,,      10,,      10,,     930,,     400,,     530,
Detailed other language spoken regularly at home,        Sinhala (Sinhalese) ,,       5,,       0,,       0,,     570,,     285,,     290,
Detailed other language spoken regularly at home,        Sino-Tibetan languages; n.i.e. ,,       0,,       0,,       0,,      65,,      35,,      30,
Detailed other language spoken regularly at home,        Slavic languages; n.i.e. ,,       0,,       0,,       0,,     150,,      75,,      75,
Detailed other language spoken regularly at home,        Slovak ,,      25,,      10,,      15,,    1035,,     400,,     635,
Detailed other language spoken regularly at home,        Slovenian ,,      10,,       5,,       5,,     345,,     155,,     190,
Detailed other language spoken regularly at home,        Somali ,,       0,,       0,,       0,,     365,,     190,,     175,
Detailed other language spoken regularly at home,        Spanish ,,     365,,     165,,     200,,   20930,,   10065,,   10865,
Detailed other language spoken regularly at home,        Swahili ,,      10,,       0,,       5,,     580,,     280,,     300,
Detailed other language spoken regularly at home,        Swedish ,,      30,,      10,,      20,,    1220,,     535,,     680,
Detailed other language spoken regularly at home,        Tagalog (Pilipino; Filipino) ,,     300,,      70,,     235,,   24810,,    9040,,   15775,
Detailed other language spoken regularly at home,        Taiwanese ,,      75,,      35,,      40,,    2675,,    1275,,    1395,
Detailed other language spoken regularly at home,        Tamil ,,       5,,       0,,       0,,     910,,     480,,     430,
Detailed other language spoken regularly at home,        Telugu ,,       0,,       0,,       0,,     195,,     100,,      95,
Detailed other language spoken regularly at home,        Thai ,,      30,,      10,,      20,,    1110,,     370,,     740,
Detailed other language spoken regularly at home,        Tibetan languages ,,       5,,       0,,       5,,      45,,      30,,      25,
Detailed other language spoken regularly at home,        Tigrigna ,,       0,,       0,,       0,,     175,,      85,,      90,
Detailed other language spoken regularly at home,        Turkish ,,      15,,      10,,      10,,    1020,,     575,,     445,
Detailed other language spoken regularly at home,        Ukrainian ,,      55,,      20,,      40,,    1930,,     830,,    1100,
Detailed other language spoken regularly at home,        Urdu ,,      85,,      45,,      40,,    2425,,    1260,,    1170,
Detailed other language spoken regularly at home,        Vietnamese ,,      20,,       5,,      15,,    5945,,    2880,,    3060,
Detailed other language spoken regularly at home,        Yiddish ,,      10,,       5,,       5,,      90,,      35,,      50,
Detailed other language spoken regularly at home,      Other languages,22,      65,,      30,,      40,,   10345,,    4910,,    5435,
Detailed other language spoken regularly at home,  Multiple responses         ,,     145,,      70,,      80,,   11455,,    5320,,    6130,
Detailed other language spoken regularly at home,    English and French ,,      15,,      10,,       5,,    1090,,     495,,     595,
Detailed other language spoken regularly at home,    English and non-official language ,,      45,,      20,,      20,,    4540,,    2185,,    2350,
Detailed other language spoken regularly at home,    French and non-official language ,,      90,,      40,,      50,,    5760,,    2610,,    3145,
Detailed other language spoken regularly at home,    English; French and non-official language ,,       0,,       0,,       0,,      70,,      30,,      40,

Notes:
1. Statistics Canada is committed to protect the privacy of all Canadians and the confidentiality of the data they provide to us. As part of this commitment some population counts of geographic areas are adjusted in order to ensure confidentiality. Counts of the total population are rounded to a base of 5 for any dissemination block having a population of less than 15. Population counts for all standard geographic areas above the dissemination block level are derived by summing the adjusted dissemination block counts. The adjustment of dissemination block counts is controlled to ensure that the population counts for dissemination areas will always be within 5 of the actual values. The adjustment has no impact on the population counts of census divisions and large census subdivisions. 
2. A separate set of living quarters designed for or converted for human habitation in which a person or group of persons reside or could reside. In addition a private dwelling must have a source of heat or power and must be an enclosed space that provides shelter from the elements as evidenced by complete and enclosed walls and roof and by doors and windows that provide protection from wind rain and snow.
3. A separate set of living quarters which has a private entrance either directly from outside or from a common hall lobby vestibule or stairway leading to the outside and in which a person or a group of persons live permanently.
4. Refers to the age at last birthday before the reference date that is before May 10 2011. Refer to the <a href="/census-recensement/2011/ref/dict/pop005-eng.cfm" title="Census Dictionary: Age">Census Dictionary</a> for more information.
5. The median age is an age 'x' such that exactly one half of the population is older than 'x' and the other half is younger than 'x'.
6. Refers to the marital status of the person taking into account his/her common-law status. For more information refer to the <a href="/census-recensement/2011/ref/dict/pop068-eng.cfm">Census Dictionary: Marital status</a>.
7. Census family - Refers to a married couple (with or without children) a common-law couple (with or without children) or a lone parent family. For more information refer to the <a href='/census-recensement/2011/ref/dict/fam004-eng.cfm'>Census Dictionary: Census family</a>.
8. Census family structure - Refers to the classification of census families into married couples (with or without children of either and/or both spouses) common-law couples (with or without children of either and/or both partners) and lone-parent families by sex of parent. A couple may be of opposite or same sex. A couple with children may be further classified as either an intact family or stepfamily and stepfamilies may in turn be classified as simple or complex. Children in a census family include grandchildren living with their grandparent(s) but with no parents present.
9. Non-relatives may be present.
10. Refers to the basic division of private households into family and non-family households. Family household refers to a household that contains at least one census family that is a married couple with or without children or a couple living common-law with or without children or a lone parent living with one or more children (lone-parent family). One-family household refers to a single census family (with or without other persons) that occupies a private dwelling. Multiple-family household refers to a household in which two or more census families (with or without additional persons) occupy the same private dwelling. Family households may also be divided based on the presence of persons not in a census family. Non-family household refers to either one person living alone in a private dwelling or to a group of two or more people who share a private dwelling but who do not constitute a census family.
11. Refers to households that consist solely of one census family without additional persons.
12. Refers to households with opposite-sex or same-sex couples.
13. Refers to one-census family households with additional persons and to multiple-census family households with or without additional persons.
14. Refers to households with opposite-sex or same-sex couples.
15. Structural type of dwelling - Characteristics that define a dwelling's structure for example the characteristics of a single-detached house a semi-detached house a row house or an apartment or flat in a duplex. Refers to the structural characteristics and/or dwelling configuration that is whether the dwelling is a single-detached house an apartment in a high-rise building a row house a mobile home etc.
16. Includes mobile homes and other movable dwellings such as houseboats and railroad cars.
17. The category 'Other dwelling' is a subtotal of the following categories: semi-detached house row house apartment or flat in a duplex apartment in a building that has fewer than five storeys and other single-attached house.
18. Household private - Person or group of persons occupying the same dwelling. Refers to a person or a group of persons (other than foreign residents) who occupy a private dwelling and do not have a usual place of residence elsewhere in Canada. Household size - Number of persons occupying a private dwelling. Refers to the number of usual residents in a private household.
19. The population excluding institutional residents includes Canadian citizens (by birth or by naturalization) and landed immigrants (permanent residents) excluding those who live in institutions (institutional collective dwellings). Canadian citizens and landed immigrants either: (1) have a usual place of residence in Canada; (2) are abroad either on a military base or attached to a diplomatic mission; or (3) are at sea or in port aboard merchant vessels under Canadian registry or Canadian government vessels. Since 1991 the target population  also includes persons with a usual place of residence in Canada who are claiming refugee status who hold study permits or who hold work permits as well as family members living with them; for census purposes this group is referred to as non-permanent residents. The population universe does not include foreign residents.
20. The languages shown were selected based on the Aboriginal mother tongues most often reported as single responses in Canada in the 2011 Census of Population.
21. The languages shown were selected based on the non-Aboriginal mother tongues (other than English or French) most often reported as single responses in Canada in the 2011 Census of Population.
22. This is a subtotal of all languages collected by the census that are not displayed separately here. For a full list of languages collected in the census please refer to Appendix D in the 2011 Census Dictionary.
23. English is the first official language spoken by Quebec's official language minority which consists of all individuals with English as a first official language spoken and half of those with both English and French. French is the first official language spoken by the official language minority in the country overall and in every province and territory outside Quebec which consists of all individuals with French as a first official language spoken and half of those with both English and French.

Symbols:
A,adjusted figure due to boundary change
E,use with caution 
x,area and data suppression 
+,excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements
..,incompletely enumerated Indian reserve and Indian settlement
...,not applicable

Source: Statistics Canada; 2011 Census of Population.

How to cite: Statistics Canada. 2012. Census Profile. 2011 Census.
Statistics Canada Catalogue no. 98-316-XWE. Ottawa. Released June 27 2012.
http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/index.cfm?Lang=E
